Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,
Synthesizing nonanomalous event-based controllers for liveness goals,N. D'ippolito; V. Braberman; N. Piterman; S. Uchitel,"Imperial College London, London, UK",ACM Transactions on Software Engineering and Methodology (TOSEM),20160129,2013,22,1,1,36,"<p>We present SGR(1), a novel synthesis technique and methodological guidelines for automatically constructing event-based behavior models. Our approach works for an expressive subset of liveness properties, distinguishes between controlled and monitored actions, and differentiates system goals from environment assumptions. We show that assumptions must be modeled carefully in order to avoid synthesizing anomalous behavior models. We characterize nonanomalous models and propose assumption compatibility, a sufficient condition, as a methodological guideline.</p>",1049-331X;1049331X,,10.1145/2430536.2430543,,,behavioral modeling;controller synthesis,,,,,6,,,,,,13-Feb,,ACM,ACM Journals & Magazines,,35
Documenting Design-Pattern Instances: A Family of Experiments on Source-Code Comprehensibility,G. Scanniello; C. Gravino; M. Risi; G. Tortora; G. Dodero,"University of Basilicata, Potenza, Italy",ACM Transactions on Software Engineering and Methodology (TOSEM),20161111,2015,24,3,1,35,"<p>Design patterns are recognized as a means to improve software maintenance by furnishing an explicit specification of class and object interactions and their underlying intent [Gamma et al. 1995]. Only a few empirical investigations have been conducted to assess whether the kind of documentation for design patterns implemented in source code affects its comprehensibility. To investigate this aspect, we conducted a family of four controlled experiments with 88 participants having different experience (i.e., professionals and Bachelor, Master, and PhD students). In each experiment, the participants were divided into three groups and asked to comprehend a nontrivial chunk of an open-source software system. Depending on the group, each participant was, or was not, provided with graphical or textual representations of the design patterns implemented within the source code. We graphically documented design-pattern instances with UML class diagrams. Textually documented instances are directly reported source code as comments. Our results indicate that documenting design-pattern instances yields an improvement in correctness of understanding source code for those participants with an adequate level of experience.</p>",1049-331X;1049331X,,10.1145/2699696,,,Design patterns;controlled experiment;maintenance;replications;software models;source-code comprehension,,,,,2,,,,,,15-May,,ACM,ACM Journals & Magazines,,34
Automated Support for Reproducing and Debugging Field Failures,W. Jin; A. Orso,Georgia Institute of Technology,ACM Transactions on Software Engineering and Methodology (TOSEM),20161111,2015,24,4,1,35,"<p>As confirmed by a recent survey conducted among developers of the Apache, Eclipse, and Mozilla projects, two extremely challenging tasks during maintenance are reproducing and debugging field failuresäóîfailures that occur on user machines after release. To help developers with these tasks, in this article we present an overall approach that comprises two different techniques: B<scp>ug</scp>R<scp>edux</scp> and F<sup>3</sup>. B<scp>ug</scp>R<scp>edux</scp> is a general technique for reproducing field failures that collects dynamic data about failing executions in the field and uses this data to synthesize executions that mimic the observed field failures. F<sup>3</sup> leverages the executions generated by B<scp>ug</scp>R<scp>edux</scp> to perform automated debugging using a set of suitably optimized fault-localization techniques. To assess the usefulness of our approach, we performed an empirical evaluation of the approach on a set of real-world programs and field failures. The results of our evaluation are promising in that, for all the failures considered, our approach was able to (1) synthesize failing executions that mimicked the observed field failures, (2) synthesize passing executions similar to the failing ones, and (3) use the synthesized executions to successfully perform fault localization with accurate results.</p>",1049-331X;1049331X,,10.1145/2774218,,,Debugging;fault localization;field failures,,,,,2,,,,,,15-Aug,,ACM,ACM Journals & Magazines,,34
Estimating Semantic Relatedness in Source Code,A. Mahmoud; G. Bradshaw,"Louisiana State University, Baton Rouge, LA",ACM Transactions on Software Engineering and Methodology (TOSEM),20161111,2015,25,1,1,35,"<p>Contemporary software engineering tools exploit semantic relations between individual code terms to aid in code analysis and retrieval tasks. Such tools employ word similarity methods, often used in natural language processing (<scp>nlp</scp>), to analyze the textual content of source code. However, the notion of similarity in source code is different from natural language. Source code often includes unnatural domain-specific terms (e.g., abbreviations and acronyms), and such terms might be related due to their structural relations rather than linguistic aspects. Therefore, applying natural language similarity methods to source code without adjustment can produce low-quality and error-prone results. Motivated by these observations, we systematically investigate the performance of several semantic-relatedness methods in the context of software. Our main objective is to identify the most effective semantic schemes in capturing association relations between source code terms. To provide an unbiased comparison, different methods are compared against human-generated relatedness information using terms from three software systems. Results show that corpus-based methods tend to outperform methods that exploit external sources of semantic knowledge. However, due to inherent code limitations, the performance of such methods is still suboptimal. To address these limitations, we propose Normalized Software Distance (<scp>nsd</scp>), an information-theoretic method that captures semantic relatedness in source code by exploiting the distributional cues of code terms across the system. <scp>nsd</scp> overcomes data sparsity and lack of context problems often associated with source code, achieving higher levels of resemblance to the human perception of relatedness at the term and the text levels of code.</p>",1049-331X;1049331X,,10.1145/2824251,,,Semantic relatedness;clustering;information retrieval;information theory;latent semantics,,,,,,,,,,,15-Dec,,ACM,ACM Journals & Magazines,,34
A two-phase approximation for model checking probabilistic unbounded until properties of probabilistic systems,P. Jennings; A. P. Ghosh; S. Basu,Iowa State University,ACM Transactions on Software Engineering and Methodology (TOSEM),20160129,2012,21,3,1,35,"<p>We have developed a new approximate probabilistic model-checking method for <i>untimed</i> properties in probabilistic systems, expressed in a probabilistic temporal logic (PCTL, CSL). This method, in contrast to the existing ones, does not require the untimed until properties to be <i>bounded</i> a priori, where the bound refers to the number of discrete steps in the system required to verify the until property. The method consists of two phases. In the first phase, a suitable system- and property-dependent bound <i>k</i><sub>0</sub> is obtained automatically. In the second phase, the probability of satisfying the <i>k</i><sub>0</sub>-bounded until property is computed as the estimate of the probability of satisfying the original unbounded until property. Both phases require only verification of bounded until properties, which can be effectively performed by simulation-based methods. We prove the correctness of the proposed two-phase method and present its optimized implementation in the widely used PRISM model-checking engine. We compare this implementation with sampling-based model-checking techniques implemented in two tools: PRISM and MRMC. We show that for several models these existing tools fail to compute the result, while the two-phase method successfully computes the result efficiently with respect to time and space.</p>",1049-331X;1049331X,,10.1145/2211616.2211621,,,CSL;CTMC;DTMC;PCTL,,,,,,,,,,,12-Jun,,ACM,ACM Journals & Magazines,,34
Key factors for adopting inner source,K. J. Stol; P. Avgeriou; M. A. Babar; Y. Lucas; B. Fitzgerald,"Lero, University of Limerick",ACM Transactions on Software Engineering and Methodology (TOSEM),20160129,2014,23,2,1,35,"<p>A number of organizations have adopted Open Source Software (OSS) development practices to support or augment their software development processes, a phenomenon frequently referred to as <i>Inner Source</i>. However the adoption of Inner Source is not a straightforward issue. Many organizations are struggling with the question of whether Inner Source is an appropriate approach to software development for them in the first place. This article presents a framework derived from the literature on Inner Source, which identifies nine important factors that need to be considered when implementing Inner Source. The framework can be used as a probing instrument to assess an organization on these nine factors so as to gain an understanding of whether or not Inner Source is suitable. We applied the framework in three case studies at Philips Healthcare, Neopost Technologies, and Rolls-Royce, which are all large organizations that have either adopted Inner Source or were planning to do so. Based on the results presented in this article, we outline directions for future research.</p>",1049-331X;1049331X,,10.1145/2533685,,,Case study;framework;inner source;open-source development practices,,,,,4,,,,,,14-Mar,,ACM,ACM Journals & Magazines,,34
An algebra of design patterns,H. Zhu; I. Bayley,"Oxford Brookes University, UK",ACM Transactions on Software Engineering and Methodology (TOSEM),20160129,2013,22,3,1,35,"<p>In a pattern-oriented software design process, design decisions are made by selecting and instantiating appropriate patterns, and composing them together. In our previous work, we enabled these decisions to be formalized by defining a set of operators on patterns with which instantiations and compositions can be represented. In this article, we investigate the algebraic properties of these operators. We provide and prove a complete set of algebraic laws so that equivalence between pattern expressions can be proven. Furthermore, we define an always-terminating normalization of pattern expression to a canonical form which is unique modulo equivalence in first-order logic.</p> <p>By a case study, the pattern-oriented design of an extensible request-handling framework, we demonstrate two practical applications of the algebraic framework. First, we can prove the correctness of a finished design with respect to the design decisions made and the formal specification of the patterns. Second, we can even derive the design from these components.</p>",1049-331X;1049331X,,10.1145/2491509.2491517,,,Design patterns;algebra;equational reasoning;formal method;pattern composition;software design methodology,,,,,8,,,,,,13-Jul,,ACM,ACM Journals & Magazines,,34
On software component co-installability,J. Vouillon; R. D. Cosmo,"CNRS, PPS, UMR 7126, Univ Paris Diderot, Sorbonne Paris Cit&#233;, Paris, France",ACM Transactions on Software Engineering and Methodology (TOSEM),20160129,2013,22,4,1,35,"<p>Modern software systems are built by composing components drawn from large <i>repositories</i>, whose size and complexity is increasing at a very fast pace. A fundamental challenge for the maintainability and the scalability of such software systems is the ability to quickly identify the components that can or cannot be installed together: this is the <i>co-installability</i> problem, which is related to boolean satisfiability and is known to be algorithmically hard. This article develops a novel theoretical framework, based on formally certified semantic preserving graph-theoretic transformations, that allows us to associate to each concrete component repository a much smaller one with a simpler structure, that we call <i>strongly flat</i>, with equivalent co-installability properties. This flat repository can be displayed in a way that provides a concise view of the co-installability issues in the original repository, or used as a basis for various algorithms related to co-installability, like the efficient computation of strong conflicts between components. The proofs contained in this work have been machine checked using the Coq proof assistant.</p>",1049-331X;1049331X,,10.1145/2522920.2522927,,,Component;co-installability;conflicts;dependencies;open source;package management,,,,,2,2,,,,,13-Oct,,ACM,ACM Journals & Magazines,,34
A Generative Programming Framework for Context-Aware CSCW Applications,D. Kulkarni; T. Ahmed; A. Tripathi,"University of Minnesota, Minneapolis",ACM Transactions on Software Engineering and Methodology (TOSEM),20121018,2012,21,2,1,35,"<p>We present a programming framework based on the paradigm of generative application development for building context-aware collaborative applications. In this approach, context-aware applications are implemented using a domain-specific design model, and their execution environment is generated and maintained by the middleware. The key features of this design model include support for context-based service discovery and binding, context-based access control, context-based multiuser coordination, and context-triggered automated task executions. The middleware uses the technique of <i>policy-based specialization</i> for generating application-specific middleware components from the generic middleware components. Through a case-study example, we demonstrate this approach and present the evaluations of the design model and the middleware.</p>",1049-331X;1049331X,,10.1145/2089116.2089121,,,Context-aware computing;generative middleware;pervasive computing,,,,,1,,,,,,12-Mar,,ACM,ACM Journals & Magazines,,34
QVM: An Efficient Runtime for Detecting Defects in Deployed Systems,M. Arnold; M. Vechev; E. Yahav,IBM Research,ACM Transactions on Software Engineering and Methodology (TOSEM),20121018,2011,21,1,1,35,"<p>Coping with software defects that occur in the post-deployment stage is a challenging problem: bugs may occur only when the system uses a specific configuration and only under certain usage scenarios. Nevertheless, halting production systems until the bug is tracked and fixed is often impossible. Thus, developers have to try to reproduce the bug in laboratory conditions. Often, the reproduction of the bug takes most of the debugging effort.</p> <p>In this paper we suggest an approach to address this problem by using a specialized runtime environment called <i>Quality Virtual Machine</i> (QVM). QVM efficiently detects defects by continuously monitoring the execution of the application in a production setting. QVM enables the efficient checking of violations of user-specified correctness properties, that is, typestate safety properties, Java assertions, and heap properties pertaining to ownership. QVM is markedly different from existing techniques for continuous monitoring by using a novel overhead manager which enforces a user-specified overhead budget for quality checks. Existing tools for error detection in the field usually disrupt the operation of the deployed system. QVM, on the other hand, provides a balanced trade-off between the cost of the monitoring process and the maintenance of sufficient accuracy for detecting defects. Specifically, the overhead cost of using QVM instead of a standard JVM, is low enough to be acceptable in production environments.</p> <p>We implemented QVM on top of IBMäó»s J9 Java Virtual Machine and used it to detect and fix various errors in real-world applications.</p>",1049-331X;1049331X,,10.1145/2063239.2063241,,,Virtual machines;debugging;diagnosis;heap assertions;typestate,,,,,4,,,,,,11-Dec,,ACM,ACM Journals & Magazines,,34
Recommending Adaptive Changes for Framework Evolution,B. Dagenais; M. P. Robillard,McGill University,ACM Transactions on Software Engineering and Methodology (TOSEM),20121018,2011,20,4,1,35,"<p>In the course of a frameworkäó»s evolution, changes ranging from a simple refactoring to a complete rearchitecture can break client programs. Finding suitable replacements for framework elements that were accessed by a client program and deleted as part of the frameworkäó»s evolution can be a challenging task. We present a recommendation system, SemDiff, that suggests adaptations to client programs by analyzing how a framework was adapted to its own changes. In a study of the evolution of one open source framework and three client programs, our approach recommended relevant adaptive changes with a high level of precision. In a second study of the evolution of two frameworks, we found that related change detection approaches were better at discovering systematic changes and that SemDiff was complementary to these approaches by detecting non-trivial changes such as when a functionality is imported from an external library.</p>",1049-331X;1049331X,,10.1145/2000799.2000805,,,Adaptive changes;framework;legacy study;mining software repositories;origin analysis;partial program analysis;recommendation system;software evolution,,,,,11,,,,,,11-Sep,,ACM,ACM Journals & Magazines,,34
Reducing the effort of bug report triage: Recommenders for development-oriented decisions,J. Anvik; G. C. Murphy,"Central Washington University, Ellensburg, WA",ACM Transactions on Software Engineering and Methodology (TOSEM),20121018,2011,20,3,1,35,"<p>A key collaborative hub for many software development projects is the bug report repository. Although its use can improve the software development process in a number of ways, reports added to the repository need to be triaged. A triager determines if a report is meaningful. Meaningful reports are then organized for integration into the project's development process.</p> <p>To assist triagers with their work, this article presents a machine learning approach to create recommenders that assist with a variety of decisions aimed at streamlining the development process. The recommenders created with this approach are accurate; for instance, recommenders for which developer to assign a report that we have created using this approach have a precision between 70&percnt; and 98&percnt; over five open source projects. As the configuration of a recommender for a particular project can require substantial effort and be time consuming, we also present an approach to assist the configuration of such recommenders that significantly lowers the cost of putting a recommender in place for a project. We show that recommenders for which developer should fix a bug can be quickly configured with this approach and that the configured recommenders are within 15&percnt; precision of hand-tuned developer recommenders.</p>",1049-331X;1049331X,,10.1145/2000791.2000794,,,Bug report triage;configuration assistance;machine learning;recommendation;task assignment,,,,,47,,,,,,11-Aug,,ACM,ACM Journals & Magazines,,34
Parallel Algorithms for Generating Distinguishing Sequences for Observable Non-deterministic FSMs,R. M. Hierons; U. C. Tí_rker,"Brunel University, Middlesex, UK",ACM Transactions on Software Engineering and Methodology (TOSEM),20170907,2017,26,1,1,34,"<p>A distinguishing sequence (DS) for a finite-state machine (FSM) is an input sequence that distinguishes every pair of states of the FSM. There are techniques that generate a test sequence with guaranteed fault detection power, and it has been found that shorter test sequences can be produced if DSs are used. Despite these benefits, however, until recently the only published DS generation algorithms have been for deterministic FSMs. This article develops a massively parallel algorithm, which can be used in Graphics Processing Units (GPUs) Computing, to generate DSs from partial observable non-deterministic FSMs. We also present the results of experiments using randomly generated FSMs and some benchmark FSMs. The results are promising and indicate that the proposed algorithm can derive DSs from partial observable non-deterministic FSMs with 32,000 states in an acceptable amount of time.</p>",1049-331X;1049331X,,10.1145/3051121,,,Finite state machine;distinguishing sequences,,,,,,,,,,,17-Jul,,ACM,ACM Journals & Magazines,,33
Boa: Ultra-Large-Scale Software Repository and Source-Code Mining,R. Dyer; H. A. Nguyen; H. Rajan; T. N. Nguyen,"Bowling Green State University, Bowling Green, OH",ACM Transactions on Software Engineering and Methodology (TOSEM),20161111,2015,25,1,1,34,"<p>In today's software-centric world, ultra-large-scale software repositories, such as SourceForge, GitHub, and Google Code, are the new library of Alexandria. They contain an enormous corpus of software and related information. Scientists and engineers alike are interested in analyzing this wealth of information. However, systematic extraction and analysis of relevant data from these repositories for testing hypotheses is hard, and best left for <i>mining software repository</i> (MSR) experts&excl; Specifically, mining source code yields significant insights into software development artifacts and processes. Unfortunately, mining source code at a large scale remains a difficult task. Previous approaches had to either limit the scope of the projects studied, limit the scope of the mining task to be more coarse grained, or sacrifice studying the history of the code. In this article we address mining source code: (a) at a very large scale; (b) at a fine-grained level of detail; and (c) with full history information. To address these challenges, we present domain-specific language features for source-code mining in our language and infrastructure called <i>Boa</i>. The goal of <i>Boa</i> is to ease testing MSR-related hypotheses. Our evaluation demonstrates that <i>Boa</i> substantially reduces programming efforts, thus lowering the barrier to entry. We also show drastic improvements in scalability.</p>",1049-331X;1049331X,,10.1145/2803171,,,Boa;domain-specific language;ease of use;lower barrier to entry;mining software repositories;scalable,,,,,3,,,,,,15-Dec,,ACM,ACM Journals & Magazines,,33
The Effect of Program and Model Structure on the Effectiveness of MC/DC Test Adequacy Coverage,G. Gay; A. Rajan; M. Staats; M. Whalen; M. P. E. Heimdahl,"University of South Carolina, SC, USA",ACM Transactions on Software Engineering and Methodology (TOSEM),20161111,2016,25,3,1,34,"<p>Test adequacy metrics defined over the structure of a program, such as Modified Condition and Decision Coverage (MC/DC), are used to assess testing efforts. However, MC/DC can be äóìcheatedäóù by restructuring a program to make it easier to achieve the desired coverage. This is concerning, given the importance of MC/DC in assessing the adequacy of test suites for critical systems domains. In this work, we have explored the impact of implementation structure on the efficacy of test suites satisfying the MC/DC criterion using four real-world avionics systems.</p> <p>Our results demonstrate that test suites achieving MC/DC over implementations with structurally complex Boolean expressions are generally larger and more effective than test suites achieving MC/DC over functionally equivalent, but structurally simpler, implementations. Additionally, we found that test suites generated over simpler implementations achieve significantly lower MC/DC and fault-finding effectiveness when applied to complex implementations, whereas test suites generated over the complex implementation still achieve high MC/DC and attain high fault finding over the simpler implementation. By measuring MC/DC over simple implementations, we can significantly reduce the cost of testing, but in doing so, we also reduce the effectiveness of the testing process. Thus, developers have an economic incentive to äóìcheatäóù the MC/DC criterion, but this cheating leads to negative consequences. Accordingly, we recommend that organizations require MC/DC over a structurally complex implementation for testing purposes to avoid these consequences.</p>",1049-331X;1049331X,,10.1145/2934672,,,Coverage;fault finding,,,,,1,,,,,,16-Aug,,ACM,ACM Journals & Magazines,,33
Concept location using formal concept analysis and information retrieval,D. Poshyvanyk; M. Gethers; A. Marcus,College of William and Mary,ACM Transactions on Software Engineering and Methodology (TOSEM),20160129,2012,21,4,1,34,"<p>The article addresses the problem of concept location in source code by proposing an approach that combines Formal Concept Analysis and Information Retrieval. In the proposed approach, Latent Semantic Indexing, an advanced Information Retrieval approach, is used to map textual descriptions of software features or bug reports to relevant parts of the source code, presented as a ranked list of source code elements. Given the ranked list, the approach selects the most relevant attributes from the best ranked documents, clusters the results, and presents them as a concept lattice, generated using Formal Concept Analysis.</p> <p>The approach is evaluated through a large case study on concept location in the source code on six open-source systems, using several hundred features and bugs. The empirical study focuses on the analysis of various configurations of the generated concept lattices and the results indicate that our approach is effective in organizing different concepts and their relationships present in the subset of the search results. In consequence, the proposed concept location method has been shown to outperform a standalone Information Retrieval based concept location technique by reducing the number of irrelevant search results across all the systems and lattice configurations evaluated, potentially reducing the programmers' effort during software maintenance tasks involving concept location.</p>",1049-331X;1049331X,,10.1145/2377656.2377660,,,Concept location;Formal Concept Analysis;Information Retrieval;feature identification;program comprehension;software evolution and maintenance,,,,,11,,,,,,12-Nov,,ACM,ACM Journals & Magazines,,33
Validation of requirements for hybrid systems: A formal approach,A. Cimatti; M. Roveri; A. Susi; S. Tonetta,"FBK-irst, Center for Information Technology, Trento-Povo, Italy",ACM Transactions on Software Engineering and Methodology (TOSEM),20160129,2012,21,4,1,34,"<p>Flaws in requirements may have unacceptable consequences in the development of safety-critical applications. Formal approaches may help with a deep analysis that takes care of the precise semantics of the requirements. However, the proposed solutions often disregard the problem of integrating the formalization with the analysis, and the underlying logical framework lacks either expressive power, or automation.</p> <p>We propose a new, comprehensive approach for the validation of functional requirements of hybrid systems, where discrete components and continuous components are tightly intertwined. The proposed solution allows to tackle problems of conversion from informal to formal, traceability, automation, user acceptance, and scalability.</p> <p>We build on a new language, othello which is expressive enough to represent various domains of interest, yet allowing efficient procedures for checking the satisfiability. Around this, we propose a structured methodology where: informal requirements are fragmented and categorized according to their role; each fragment is formalized based on its category; specialized formal analysis techniques, optimized for requirements analysis, are finally applied.</p> <p>The approach was the basis of an industrial project aiming at the validation of the European Train Control System (ETCS) requirements specification. During the project a realistic subset of the ETCS specification was formalized and analyzed. The approach was positively assessed by domain experts.</p>",1049-331X;1049331X,,10.1145/2377656.2377659,,,European train control system;Requirements validation;formal languages;methodology;safety-critical applications,,,,,4,,,,,,12-Nov,,ACM,ACM Journals & Magazines,,33
Do we need to handle every temporal violation in scientific workflow systems?,X. Liu; Y. Yang; D. Yuan; J. Chen,"East China Normal University, Shanghai, China and Swinburne University of Technology, Melbourne, Australia",ACM Transactions on Software Engineering and Methodology (TOSEM),20160129,2014,23,1,1,34,"<p>Scientific processes are usually time constrained with overall deadlines and local milestones. In scientific workflow systems, due to the dynamic nature of the underlying computing infrastructures such as grid and cloud, execution delays often take place and result in a large number of temporal violations. Since temporal violation handling is expensive in terms of both monetary costs and time overheads, an essential question aroused is äóìdo we need to handle every temporal violation in scientific workflow systems&quest;äóù The answer would be äóìtrueäóù according to existing works on workflow temporal management which adopt the philosophy similar to the handling of functional exceptions, that is, every temporal violation should be handled whenever it is detected. However, based on our observation, the phenomenon of self-recovery where execution delays can be automatically compensated for by the saved execution time of subsequent workflow activities has been entirely overlooked. Therefore, considering the nonfunctional nature of temporal violations, our answer is äóìnot necessarily true.äóù To take advantage of self-recovery, this article proposes a novel adaptive temporal violation handling point selection strategy where this phenomenon is effectively utilised to avoid unnecessary temporal violation handling. Based on simulations of both real-world scientific workflows and randomly generated test cases, the experimental results demonstrate that our strategy can significantly reduce the cost on temporal violation handling by over 96&percnt; while maintaining extreme low violation rate under normal circumstances.</p>",1049-331X;1049331X,,10.1145/2559938,,,Scientific workflows;quality of service;temporal constraints;temporal verification;violation handling point selection,,,,,11,,,,,,14-Feb,,ACM,ACM Journals & Magazines,,33
A Precise Method-Method Interaction-Based Cohesion Metric for Object-Oriented Classes,J. Al Dallal; L. C. Briand,Kuwait University,ACM Transactions on Software Engineering and Methodology (TOSEM),20121018,2012,21,2,1,34,"<p>The building of highly cohesive classes is an important objective in object-oriented design. Class cohesion refers to the relatedness of the class members, and it indicates one important aspect of the class design quality. A meaningful class cohesion metric helps object-oriented software developers detect class design weaknesses and refactor classes accordingly. Several class cohesion metrics have been proposed in the literature. Most of these metrics are applicable based on low-level design information such as attribute references in methods. Some of these metrics capture class cohesion by counting the number of method pairs that share common attributes. A few metrics measure cohesion more precisely by considering the degree of interaction, through attribute references, between each pair of methods. However, the formulas applied by these metrics to measure the degree of interaction cause the metrics to violate important mathematical properties, thus undermining their construct validity and leading to misleading cohesion measurement. In this paper, we propose a formula that precisely measures the degree of interaction between each pair of methods, and we use it as a basis to introduce a low-level design class cohesion metric (LSCC). We verify that the proposed formula does not cause the metric to violate important mathematical properties. In addition, we provide a mechanism to use this metric as a useful indicator for refactoring weakly cohesive classes, thus showing its usefulness in improving class cohesion. Finally, we empirically validate LSCC. Using four open source software systems and eleven cohesion metrics, we investigate the relationship between LSCC, other cohesion metrics, and fault occurrences in classes. Our results show that LSCC is one of three metrics that explains more accurately the presence of faults in classes. LSCC is the only one among the three metrics to comply with important mathematical properties, and statistical analysis shows it cap- ures a measurement dimension of its own. This suggests that LSCC is a better alternative, when taking into account both theoretical and empirical results, as a measure to guide the refactoring of classes. From a more general standpoint, the results suggest that class quality, as measured in terms of fault occurrences, can be more accurately explained by cohesion metrics that account for the degree of interaction between each pair of methods.</p>",1049-331X;1049331X,,10.1145/2089116.2089118,,,Object-oriented software quality;attribute;class cohesion;low-level design;method;method-method interaction;refactoring,,,,,5,,,,,,12-Mar,,ACM,ACM Journals & Magazines,,33
Deciding Type-Based Partial-Order Constraints for Path-Sensitive Analysis,E. Sherman; B. J. Garvin; M. B. Dwyer,Boise State University,ACM Transactions on Software Engineering and Methodology (TOSEM),20161111,2015,24,3,1,33,"<p>The precision and scalability of path-sensitive program analyses depend on their ability to distinguish feasible and infeasible program paths. Analyses express path feasibility as the satisfiability of conjoined branch conditions, which is then decided by cooperating decision procedures such as those in <i>satisfiability modulo theory</i> (SMT) solvers. Consequently, efficient underlying decision procedures are key to precise, scalable program analyses.</p> <p>When we investigate the branch conditions accumulated by inter-procedural path-sensitive analyses of object-oriented programs, we find that many relate to an object's dynamic type. These conditions arise from explicit type tests and the branching implicit in dynamic dispatch and type casting. These conditions share a common form that comprises a fragment of the theory of partial orders, which we refer to as <i>type-based partial orders (TPO)</i>.</p> <p>State-of-the-art SMT solvers can heuristically instantiate the quantified formulae that axiomatize partial orders, and thereby support TPO constraints. We present two custom decision procedures with significantly better performance. On benchmarks that reflect inter-procedural path-sensitive analyses applied to significant Java systems, the custom procedures run three orders of magnitude faster. The performance of the two decision procedures varies across benchmarks, which suggests that a portfolio approach may be beneficial for solving constraints generated by program analyses.</p>",1049-331X;1049331X,,10.1145/2755971,,,SMT;decision procedure;path-sensitive analysis;subtyping;type hierarchy,,,,,,,,,,,15-May,,ACM,ACM Journals & Magazines,,32
Mining Unit Tests for Discovery and Migration of Math APIs,A. Santhiar; O. Pandita; A. Kanade,Indian Institute of Science,ACM Transactions on Software Engineering and Methodology (TOSEM),20161111,2014,24,1,1,33,"<p>Today's programming languages are supported by powerful third-party APIs. For a given application domain, it is common to have many competing APIs that provide similar functionality. Programmer productivity therefore depends heavily on the programmer's ability to discover suitable APIs both during an initial coding phase, as well as during software maintenance.</p> <p>The aim of this work is to support the discovery and migration of math APIs. Math APIs are at the heart of many application domains ranging from machine learning to scientific computations. Our approach, called M<scp>ath</scp>F<scp>inder</scp>, combines executable specifications of mathematical computations with unit tests (operational specifications) of API methods. Given a math expression, M<scp>ath</scp>F<scp>inder</scp> synthesizes pseudo-code comprised of API methods to compute the expression by mining unit tests of the API methods. We present a sequential version of our unit test mining algorithm and also design a more scalable data-parallel version.</p> <p>We perform extensive evaluation of M<scp>ath</scp>F<scp>inder</scp> (1) for <i>API discovery</i>, where math algorithms are to be implemented from scratch and (2) for <i>API migration</i>, where client programs utilizing a math API are to be migrated to <i>another</i> API. We evaluated the precision and recall of M<scp>ath</scp>F<scp>inder</scp> on a diverse collection of math expressions, culled from algorithms used in a wide range of application areas such as control systems and structural dynamics. In a user study to evaluate the productivity gains obtained by using M<scp>ath</scp>F<scp>inder</scp> for API discovery, the programmers who used M<scp>ath</scp>F<scp>inder</scp> finished their programming tasks twice as fast as their counterparts who used the usual techniques like web and code search, IDE code completion, and manual inspection of library documentation. For the problem of API migration, as a case study, we used M<scp>ath</s- p>F<scp>inder</scp> to migrate Weka, a popular machine learning library. Overall, our evaluation shows that M<scp>ath</scp>F<scp>inder</scp> is easy to use, provides highly precise results across several math APIs and application domains even with a small number of unit tests per method, and scales to large collections of unit tests.</p>",1049-331X;1049331X,,10.1145/2629506,,,API discovery;API migration;mathematical computation;mining;unit tests,,,,,,,,,,,14-Sep,,ACM,ACM Journals & Magazines,,32
"Peer Review on Open-Source Software Projects: Parameters, Statistical Models, and Theory",P. C. Rigby; D. M. German; L. Cowen; M. A. Storey,Concordia University,ACM Transactions on Software Engineering and Methodology (TOSEM),20161111,2014,23,4,1,33,"<p>Peer review is seen as an important quality-assurance mechanism in both industrial development and the open-source software (OSS) community. The techniques for performing inspections have been well studied in industry; in OSS development, software peer reviews are not as well understood.</p> <p>To develop an empirical understanding of OSS peer review, we examine the review policies of 25 OSS projects and study the archival records of six large, mature, successful OSS projects. We extract a series of measures based on those used in traditional inspection experiments. We measure the frequency of review, the size of the contribution under review, the level of participation during review, the experience and expertise of the individuals involved in the review, the review interval, and the number of issues discussed during review. We create statistical models of the review efficiency, review interval, and effectiveness, the issues discussed during review, to determine which measures have the largest impact on review efficacy.</p> <p>We find that OSS peer reviews are conducted asynchronously by empowered experts who focus on changes that are in their area of expertise. Reviewers provide timely, regular feedback on small changes. The descriptive statistics clearly show that OSS review is drastically different from traditional inspection.</p>",1049-331X;1049331X,,10.1145/2594458,,,Peer review;inspection;mining software repositories;open-source software,,,,,11,,,,,,14-Aug,,ACM,ACM Journals & Magazines,,32
