Document Title,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page
Issues in Trustworthy Software Systems,"Electr. & Comput. Eng. Dept., American Univ. of Beirut, Beirut, Lebanon",2015 IEEE Trustcom/BigDataSE/ISPA,20151203,2015,1,,1142,1147
Keynote abstracts,"Dept. of Comput. Sci., Georgia State Univ., Atlanta, GA, USA",2015 IEEE Trustcom/BigDataSE/ISPA,20151203,2015,1,,xli,xlvii
When code smells twice as much: Metric-based detection of variability-aware code smells,"University of Magdeburg, Germany",2015 IEEE 15th International Working Conference on Source Code Analysis and Manipulation (SCAM),20151123,2015,,,171,180
User reviews matter! Tracking crowdsourced reviews to support evolution of successful apps,"University of Salerno, Fisciano, Italy",2015 IEEE International Conference on Software Maintenance and Evolution (ICSME),20151123,2015,,,291,300
The Importance of Being Isolated: An Empirical Study on Chromium Reviews,"Singapore Univ. of Technol. & Design, Singapore, Singapore",2015 ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM),20151109,2015,,,1,4
Turbo equalization for single-carrier underwater acoustic communications,Missouri University of Science and Technology,IEEE Communications Magazine,20151109,2015,53,11,79,87
Integrating Open Source Software Repositories on the Web through Linked Data,"Insight Centre for Data Analytics, Nat. Univ. of Ireland, Galway, Ireland",2015 IEEE International Conference on Information Reuse and Integration,20151026,2015,,,114,121
What Training is Needed by Practicing Engineers Who Create Cyberphysical Systems?,"Center for Appl. Syst. & Software, Oregon State Univ. Corvallis, Corvallis, OR, USA",2015 41st Euromicro Conference on Software Engineering and Advanced Applications,20151026,2015,,,298,305
Initial Evidence for Understanding the Relationship between Product Line Architecture and Software Architecture Recovery,,"2015 IX Brazilian Symposium on Components, Architectures and Reuse Software",20151026,2015,,,40,49
VERCE Delivers a Productive E-science Environment for Seismology Research,"Univ. of Edinburgh, Edinburgh, UK",2015 IEEE 11th International Conference on e-Science,20151026,2015,,,224,236
Computing outreach literature review,"School of Interactive Games & Media and RIT Center for Media, Arts, Games, Interaction and Creativity, Rochester Institute of Technology, Rochester, NY, USA","2015 Research in Equity and Sustained Participation in Engineering, Computing, and Technology (RESPECT)",20151012,2015,,,1,2
Net2plan: an open source network planning tool for bridging the gap between academia and industry,Universidad Politecnica de Cartagena,IEEE Network,20151008,2015,29,5,90,96
"Mapping Bug Reports to Relevant Files: A Ranking Model, a Fine-Grained Benchmark, and Feature Evaluation","School of Electrical Engineering and Computer Science, Ohio University, Athens, OH",IEEE Transactions on Software Engineering,20160414,2016,42,4,379,402
State-of-the-art video coding approaches: A survey,"School of Electronic and Information Engineering, Beihang University, Beijing, 100191, China",2015 IEEE 14th International Conference on Cognitive Informatics & Cognitive Computing (ICCI*CC),20150914,2015,,,284,290
Leveraging Informal Documentation to Summarize Classes and Methods in Context,"Dept. of Software Eng., Concordia Univ., Montreal, QC, Canada",2015 IEEE/ACM 37th IEEE International Conference on Software Engineering,20150817,2015,2,,639,642
Approximating Attack Surfaces with Stack Traces,"Dept. of Comput. Sci., NCSU, Raleigh, NC, USA",2015 IEEE/ACM 37th IEEE International Conference on Software Engineering,20150817,2015,2,,199,208
Specifications for Web Services Testing: A Systematic Review,"Fac. of Comput. Sci. Free, Univ. of Bozen/Bolzano, Bolzano, Italy",2015 IEEE World Congress on Services,20150817,2015,,,152,159
Open Source-Style Collaborative Development Practices in Commercial Projects Using GitHub,,2015 IEEE/ACM 37th IEEE International Conference on Software Engineering,20150817,2015,1,,574,585
Quality Questions Need Quality Code: Classifying Code Fragments on Stack Overflow,"Delft Univ. of Technol., Delft, Netherlands",2015 IEEE/ACM 12th Working Conference on Mining Software Repositories,20150806,2015,,,410,413
On the Alignment of Source Code Quality Perspectives through Experimentation: An Industrial Case,"Programa de Eng. de Sist. e Comput., Univ. Fed. do Rio de Janeiro, Rio de Janeiro, Brazil",2015 IEEE/ACM 3rd International Workshop on Conducting Empirical Studies in Industry,20150727,2015,,,26,33
A Robust Approach for the Analysis of EMI/EMC Problems With Nonlinear Circuit Loads,"Directed Energy Special Applications, Sandia National Laboratories, Albuquerque, NM, USA",IEEE Transactions on Electromagnetic Compatibility,20150813,2015,57,4,680,687
Programming Examples Analysis of Commercial Vocational High School Textbooks in Taiwan,"Inst. of Curriculum Instruction & Technol., Nat. Chi Nan Univ., Nantou, Taiwan",2015 International Conference on Learning and Teaching in Computing and Engineering,20150618,2015,,,223,224
Improving Software Quality as Customers Perceive It,Avaya Labs Research,IEEE Software,20160623,2016,33,4,40,45
Who Should Review this Pull-Request: Reviewer Recommendation to Expedite Crowd Collaboration,"Nat. Lab. for Parallel & Distrib. Process., Nat. Univ. of Defense Technol., Changsha, China",2014 21st Asia-Pacific Software Engineering Conference,20150423,2014,1,,335,342
Untangling fine-grained code changes,"RMoD Inria Lille-Nord Europe, University of Lille ? CRIStAL, France","2015 IEEE 22nd International Conference on Software Analysis, Evolution, and Reengineering (SANER)",20150409,2015,,,341,350
Improving the integration process of large software systems,"MCIS lab, Polytechnique Montreal, Canada","2015 IEEE 22nd International Conference on Software Analysis, Evolution, and Reengineering (SANER)",20150409,2015,,,598,598
Fundamental limits of energy harvesting communications,University of Maryland,IEEE Communications Magazine,20150408,2015,53,4,126,132
"Social context, singular focus","Electrical Engineering and Computer Science Department, The University of Michigan, Ann Arbor, MI, USA",2014 IEEE Frontiers in Education Conference (FIE) Proceedings,20150219,2014,,,1,6
Efficient embedded SoC hardware/software codesign using virtual platform,"Mentor Graphics Corporation, Cairo, Egypt",2014 9th International Design and Test Symposium (IDT),20150212,2014,,,36,38
Presentation 10. WaFeR: Model-driven test-framework for testing web UI-based applications,"Progress Software Development, India",2014 IT Professional Conference,20150205,2014,,,1,3
Rapid Releases and Patch Backouts: A Software Analytics Approach,Federal University of Bahia,IEEE Software,20150310,2015,32,2,89,96
Structural Analysis for Simple Games Source Codes Applied to Programming Learning,"Inst. Fed. de Educ., Cienc. e Tecnol. do Piaui, Teresina, Brazil",2014 Brazilian Symposium on Computer Games and Digital Entertainment,20150108,2014,,,71,79
Supporting Reviewing of Warnings in Presence of Shared Variables: Need and Effectiveness,"Tata Res. Dev. & Design Center, Pune, India",2014 IEEE International Symposium on Software Reliability Engineering Workshops,20141215,2014,,,104,107
A Bottom-Up Quality Model for QVTo,"Eindhoven Univ. of Technol., Eindhoven, Netherlands",2014 9th International Conference on the Quality of Information and Communications Technology,20141215,2014,,,85,94
Writing Acceptable Patches: An Empirical Study of Open Source Project Patches,,2014 IEEE International Conference on Software Maintenance and Evolution,20141206,2014,,,271,280
Reviewer Recommender of Pull-Requests in GitHub,"Nat. Lab. for Parallel & Distrib. Process., Nat. Univ. of Defense Technol., Changsha, China",2014 IEEE International Conference on Software Maintenance and Evolution,20141206,2014,,,609,612
Program Dependency Analysis for Consolidating Customized Product Copies,"Software Eng. Dept., Res. Center for Inf. Technol., Karlsruhe, Germany",2014 IEEE International Conference on Software Maintenance and Evolution,20141206,2014,,,496,500
Continuous Integration in a Social-Coding World: Empirical Evidence from GitHub,"Eindhoven Univ. of Technol., Eindhoven, Netherlands",2014 IEEE International Conference on Software Maintenance and Evolution,20141206,2014,,,401,405
Research Challenges in Adaptive Case Management: A Literature Review,"Dept. of Inf., Tech. Univ. Munchen (TUM), Garching, Germany",2014 IEEE 18th International Enterprise Distributed Object Computing Conference Workshops and Demonstrations,20141206,2014,,,98,107
Features in Identification Approaches for MicroRNA Precursors Based on Machine Learning,"Coll. of Inf. Sci. & Eng., Yanshan Univ., Qinhuangdao, China",2014 Fifth International Conference on Intelligent Systems Design and Engineering Applications,20141206,2014,,,483,488
EduPar Keynote,"EECS Dept., Univ. of California, Berkeley, Berkeley, CA, USA",2014 IEEE International Parallel & Distributed Processing Symposium Workshops,20141204,2014,,,1070,1070
The Nature and Content of Safety Contracts: Challenges and Suggestions for a Way Forward,"Sch. of Innovation, Malardalen Univ., Vasteras, Sweden",2014 IEEE 20th Pacific Rim International Symposium on Dependable Computing,20141204,2014,,,135,144
Development of Safety-Critical Software Systems Using Open Source Software -- A Systematic Map,"Dept. of Comput. Sci., Lund Univ., Lund, Sweden",2014 40th EUROMICRO Conference on Software Engineering and Advanced Applications,20141120,2014,,,17,24
Bootstrapping Privacy Compliance in Big Data Systems,"Carnegie Mellon Univ., Pittsburgh, PA, USA",2014 IEEE Symposium on Security and Privacy,20141120,2014,,,327,342
The Weird Machines in Proof-Carrying Code,"Bloomberg L.P., New York, NY, USA",2014 IEEE Security and Privacy Workshops,20141120,2014,,,209,213
A novel application to secure misuse of information in critical organizations for windows environment,"Center for Adv. Studies in Eng., Islamabad, Pakistan","Fifth International Conference on Computing, Communications and Networking Technologies (ICCCNT)",20141120,2014,,,1,7
Preliminary Empirical Identification of Barriers Faced by Newcomers to Open Source Software Projects,"DACOM, UTFPR, Campo Moura&#x0303;o, Brazil",2014 Brazilian Symposium on Software Engineering,20141103,2014,,,51,60
How Software Designers Interact with Sketches at the Whiteboard,"Molimur, Mission Viejo, CA",IEEE Transactions on Software Engineering,20150210,2015,41,2,135,156
Replicating and Re-Evaluating the Theory of Relative Defect-Proneness,"School of Computing, Queen&#8217;s University, Kingston, ON, Canada",IEEE Transactions on Software Engineering,20150210,2015,41,2,176,197
Auditing Buffer Overflow Vulnerabilities Using Hybrid Static-Dynamic Analysis,"Sch. of Electr. & Electron. Eng., Nanyang Technol. Univ., Singapore, Singapore",2014 IEEE 38th Annual Computer Software and Applications Conference,20140922,2014,,,394,399
"First, Do No Harm",Athens University of Economics and Business,IEEE Software,20140915,2014,31,5,12,14
Model Driven Requirements Engineering: Mapping the field and beyond,"Institut Mines-T&#x00E9;l&#x00E9;com, Ecole de Management, 9, rue C. Fourier, 91011 Evry, France",2014 IEEE 4th International Model-Driven Requirements Engineering Workshop (MoDRE),20140908,2014,,,1,6
Investigation of the Impact of Compression on the Perceptional Quality of Laparoscopic Videos,"Inst. of Inf. Technol., Klagenfurt Univ., Klagenfurt, Austria",2014 IEEE 27th International Symposium on Computer-Based Medical Systems,20140825,2014,,,153,158
Spatially coupled sparse codes on graphs: theory and practice,"Univ. of Notre Dame, Notre Dame, IN, USA",IEEE Communications Magazine,20140715,2014,52,7,168,176
On Demand Multicast Routing in Wireless Sensor Networks,"Sch. of Sci. & Technol., Middlesex Univ., London, UK",2014 28th International Conference on Advanced Information Networking and Applications Workshops,20140626,2014,,,233,238
Volumetric reconstruction applied to perceptual studies of size and weight,"Comput. Sci. Dept., Univ. of California, Los Angeles, Los Angeles, CA, USA",IEEE Winter Conference on Applications of Computer Vision,20140623,2014,,,45,52
The TrueCrypt On-Disk Format--An Independent View,"Masaryk Univ., Brno, Czech Republic",IEEE Security & Privacy,20140617,2014,12,3,74,77
Physical Unclonable Functions and Applications: A Tutorial,"Dept. of Electr. Eng. & Comput. Sci. (EECS), Massachusetts Inst. of Technol., Cambridge, MA, USA",Proceedings of the IEEE,20140718,2014,102,8,1126,1141
Next-Generation 3D Formats with Depth Map Support,,IEEE MultiMedia,20140520,2014,21,2,90,94
"The Future of Accelerator Programming: Abstraction, Performance or Can We Have Both?","Dept. of Comput. Sci., Univ. of Tokyo, Tokyo, Japan",2013 International Conference on Parallel and Distributed Systems,20140501,2013,,,442,443
Intermittent Electrical Contact Resistance as a Contributory Factor in the Loss of Automobile Speed Control Functional Integrity,,IEEE Access,20140415,2014,2,,258,289
Towards Model-Driven Engineering for Big Data Analytics -- An Exploratory Analysis of Domain-Specific Languages for Machine Learning,"ERCIS, Univ. of Muenster, Muenster, Germany",2014 47th Hawaii International Conference on System Sciences,20140310,2014,,,758,767
Patch Reviewer Recommendation in OSS Projects,"Inf. Syst. & Comput. Sci. Dept., Ateneo de Manila Univ., Quezon City, Philippines",2013 20th Asia-Pacific Software Engineering Conference (APSEC),20140306,2013,2,,1,6
Flow-level models for capacity planning and management in interference-coupled wireless data networks,,IEEE Communications Magazine,20140212,2014,52,2,164,171
A Taxonomy of SQL Injection Detection and Prevention Techniques,"Adv. Inf. Sch., Univ. Teknol. Malaysia, Kuala Lumpur, Malaysia",2013 International Conference on Informatics and Creative Multimedia,20140109,2013,,,53,56
Model-based testing of NASA's OSAL API â€” An experience report,"Fraunhofer Center for Exp. Software Eng., College Park, MD, USA",2013 IEEE 24th International Symposium on Software Reliability Engineering (ISSRE),20140102,2013,,,300,309
From the Virtual to the Material: The re-Appearance of the Art Object,"Sch. of Art & Design, Univ. of Wolverhampton, Wolverhampton, UK",2013 International Conference on Cyberworlds,20131212,2013,,,226,231
Benchmarking Usability and Performance of Multicore Languages,"ETH Zurich, Zurich, Switzerland",2013 ACM / IEEE International Symposium on Empirical Software Engineering and Measurement,20131212,2013,,,183,192
LHDiff: Tracking Source Code Lines to Support Software Maintenance Activities,"Dept. of Comput. Sci., Univ. of Saskatchewan, Saskatoon, SK, Canada",2013 IEEE International Conference on Software Maintenance,20131202,2013,,,484,487
Empirical evidence of code decay: A systematic mapping study,"Dept. of Comput. Sci. & Eng., Mississippi State Univ., Starkville, MS, USA",2013 20th Working Conference on Reverse Engineering (WCRE),20131121,2013,,,341,350
Towards generalizing expert programmers' suggestions for novice programmers,"Dept. of Computer Science and Engineering, Washington University in St. Louis, St. Louis, MO, USA",2013 IEEE Symposium on Visual Languages and Human Centric Computing,20131024,2013,,,143,150
The Progress of Supernova Simulation Based on Code WZXW96,"Inst. of Theor. Phys., China West Normal Univ., Nanchong, China",2013 International Conference on Computational and Information Sciences,20131024,2013,,,326,328
On the sustainability of web systems evolution,"ACE - University of East London London, UK",2013 15th IEEE International Symposium on Web Systems Evolution (WSE),20131024,2013,,,31,34
The impact of requirements on software quality across three product generations,"Intel Corporation, USA",2013 21st IEEE International Requirements Engineering Conference (RE),20131021,2013,,,284,289
A Systematic Review on the Practice of Evaluating Visualization,INRIA,IEEE Transactions on Visualization and Computer Graphics,20131016,2013,19,12,2818,2827
Trace Matrix Analyzer (TMA),"Computer Science, University of Kentucky, Lexington, USA",2013 7th International Workshop on Traceability in Emerging Forms of Software Engineering (TEFSE),20131007,2013,,,44,50
SOMETHINGit: A prototyping library for live and sound improvisation,"Key Technology Laboratory Software Research Associates, Inc. Tokyo, Japan",2013 1st International Workshop on Live Programming (LIVE),20131003,2013,,,11,14
Online Object Tracking: A Benchmark,,2013 IEEE Conference on Computer Vision and Pattern Recognition,20131003,2013,,,2411,2418
A study of architectural decision practices,"Dept. of Inf., Univ. of California, Irvine, Irvine, CA, USA",2013 6th International Workshop on Cooperative and Human Aspects of Software Engineering (CHASE),20130930,2013,,,77,80
LASE: An example-based program transformation tool for locating and applying systematic edits,"The University of Texas at Austin, Austin, US",2013 35th International Conference on Software Engineering (ICSE),20130926,2013,,,1319,1322
Automated software architecture security risk analysis using formalized signatures,"Centre for Computing and Engineering Software Systems, Swinburne University of Technology, Melbourne, Australia",2013 35th International Conference on Software Engineering (ICSE),20130926,2013,,,662,671
Integrating S<sup>6</sup> code search and Code Bubbles,"Department of Computer Science Brown University Providence, RI. 02912 USA",2013 3rd International Workshop on Developing Tools as Plug-Ins (TOPI),20130916,2013,,,25,30
Killer-mobiles: The way towards energy efficient high performance computers?,,2013 13th International Conference on Application of Concurrency to System Design,20130916,2013,,,xvi,xvi
"Electromagnetic Modeling and Simulation: Challenges in Validation, Verification, and Calibration","Electron. & Commun. Eng. Dept., Dogus Univ., Istanbul, Turkey",IEEE Transactions on Electromagnetic Compatibility,20140729,2014,56,4,750,758
A Taxonomy and Mapping of Computer-Based Critiquing Tools,"Fac. of Comput. Sci. & Inf. Technol., Univ. Putra Malaysia, Serdang, Malaysia",IEEE Transactions on Software Engineering,20131028,2013,39,11,1494,1520
The Astronomical Multipurpose Software Environment and the Ecology of Star Clusters,"Leiden Obs., Leiden Univ., Leiden, Netherlands","2013 13th IEEE/ACM International Symposium on Cluster, Cloud, and Grid Computing",20130624,2013,,,202,202
Storage codes â€” Coding rate and repair locality,"Division of Mathematical Sciences, School of Physical and Mathematical Sciences, Nanyang Technological University, Singapore","2013 International Conference on Computing, Networking and Communications (ICNC)",20130516,2013,,,830,834
Adaptive multiview video streaming: challenges and opportunities,Ecole Polytechnique F&#233;d&#233;rale de Lausanne,IEEE Communications Magazine,20130513,2013,51,5,94,100
"Quantum Search Algorithms, Quantum Wireless, and a Low-Complexity Maximum Likelihood Iterative Quantum Multi-User Detector Design","School of Electronics and Computer Science, University of Southampton, Southampton, U.K.",IEEE Access,20130510,2013,1,,94,122
Partial Transmit Sequence PAPR Reduction Method for LTE OFDM Systems,"Dept. of Commun. Eng., Misr Univ. For Sci. & Technol., Cairo, Egypt","2013 4th International Conference on Intelligent Systems, Modelling and Simulation",20130415,2013,,,507,512
Zero-Overhead Interfaces for High-Performance Computing Libraries and Kernels,"Dept. of Comput. Sci., Friedrich-Alexander-Univ. Erlangen-Nurnberg (FAU), Nu&#x0308;rnberg, Germany","2012 SC Companion: High Performance Computing, Networking Storage and Analysis",20130411,2012,,,1139,1146
Work in progress: How engineering students define innovation,"School of Engineering Education, Purdue University, West Lafayette, IN",2012 Frontiers in Education Conference Proceedings,20130218,2012,,,1,6
The Training Set Selection Methods of microRNA Precursors Prediction Based on Machine Learning Approaches,"Yanshan Univ., Qinhuangdao, China",2013 Third International Conference on Intelligent System Design and Engineering Applications,20130207,2013,,,1566,1569
Comparison of Static Analysis Tools for Finding Concurrency Bugs,"Blekinge Inst. of Technol., Karlsrkona, Sweden",2012 IEEE 23rd International Symposium on Software Reliability Engineering Workshops,20130110,2012,,,129,133
Assessing Product Quality through PMR Analysis: A Perspective,,2012 IEEE 23rd International Symposium on Software Reliability Engineering Workshops,20130110,2012,,,106,115
Wavelet based image compression methods â€” State of the art,"Anna university of Technology, Chennai, India","Computing Communication & Networking Technologies (ICCCNT), 2012 Third International Conference on",20121231,2012,,,1,5
A reconfigurable DCT/IDCT architecture for video codec: A Review,"J.J. College of Engineering and Technology, Trichy-09, India","Computing Communication & Networking Technologies (ICCCNT), 2012 Third International Conference on",20121231,2012,,,1,5
Assuring software quality by code smell detection,,2012 19th Working Conference on Reverse Engineering,20121220,2012,,,xix,xix
Scalable Media Coding Enabling Content-Aware Networking,"Alpen-Adria-Universit&#x00e4;t, Austria",IEEE MultiMedia,20130612,2013,20,2,30,41
A large-scale empirical study of just-in-time quality assurance,"Kyushu University, Fukuoka",IEEE Transactions on Software Engineering,20130523,2013,39,6,757,773
The design and development of the server efficiency rating tool (SERT) (abstracts only),,ACM SIGMETRICS Performance Evaluation Review,20121018,2011,39,3,14,14
An Empirical Evaluation of Mutation Testing for Improving the Test Quality of Safety-Critical Software,"Aero Engine Controls, Birmingham",IEEE Transactions on Software Engineering,20130523,2013,39,6,787,805
A Survey of Virtualization Technologies Focusing on Untrusted Code Execution,"Beijing Inst. of Syst. Eng., Beijing, China",2012 Sixth International Conference on Innovative Mobile and Internet Services in Ubiquitous Computing,20120910,2012,,,378,383
Features of electronic Early Warning systems which impact clinical decision making,"Health Information System Research Centre, University College Cork, Ireland",2012 25th IEEE International Symposium on Computer-Based Medical Systems (CBMS),20120830,2012,,,1,4
Icon scanning: Towards next generation QR codes,"Technion, Haifa, Israel",2012 IEEE Conference on Computer Vision and Pattern Recognition,20120726,2012,,,1130,1137
When open source turns cold on innovation â€” The challenges of navigating licensing complexities in new research domains,"Department of Computer Science and Software Engineering, Concordia University, Montreal, Canada",2012 34th International Conference on Software Engineering (ICSE),20120628,2012,,,1447,1448
Error mining: Bug detection through comparison with large code databases,"Institute of Software Engineering and Compiler Construction, University of Ulm, Ulm, Germany",2012 9th IEEE Working Conference on Mining Software Repositories (MSR),20120625,2012,,,175,178
App store mining and analysis: MSR for app stores,"University College London, Malet Place, London, WC1E 6BT, UK",2012 9th IEEE Working Conference on Mining Software Repositories (MSR),20120625,2012,,,108,111
A Taxonomy of Change Types and Its Application in Software Evolution,,2012 IEEE 19th International Conference and Workshops on Engineering of Computer-Based Systems,20120507,2012,,,98,107
Generalization of an Enhanced ECC Methodology for Low Power PSRAM,"National Tsing Hua University, Hsinchu",IEEE Transactions on Computers,20130524,2013,62,7,1318,1331
Automated program transformation for migration to new libraries,"Computer Systems and Program Engineering Dept., Saint-Petersburg State Polytechnical University, Russia",2011 7th Central and Eastern European Software Engineering Conference (CEE-SECR),20120423,2011,,,1,7
Keynote 1: LGTM - Software Sensing and Bug Smelling,"Univ. of Zurich, Zurich, Switzerland",2012 16th European Conference on Software Maintenance and Reengineering,20120405,2012,,,3,4
NG-PONs 1&2 and beyond: the dawn of the uber-FiWi network,"Optical Zeitgeist Laboratory, INRS",IEEE Network,20120322,2012,26,2,15,21
A grounded theory approach to effects of virtual facilitation on team communication and the development of professional skills,University of La Verne,2011 Frontiers in Education Conference (FIE),20120202,2011,,,T2C-1,T2C-5
Applying Fellegi-Sunter (FS) Model for Traceability Link Recovery between Bug Databases and Version Archives,"IIIT-D, New Delhi, India",2011 18th Asia-Pacific Software Engineering Conference,20120116,2011,,,146,153
Notice of Retraction<BR>The performance analysis for the combined STBC and MRC new system based on channel division,"School of Telecommunication, Hangzhou Dianzi University, Zhejiang, 310018, China",2011 Global Mobile Congress,20111215,2011,,,1,5
Visual analytic roadblocks for novice investigators,"Purdue University, USA",2011 IEEE Conference on Visual Analytics Science and Technology (VAST),20111215,2011,,,3,11
Common Agile Practices in Software Processes,"COPPE/Syst. Eng. & Comput. Sci. Program, Fed. Univ. of Rio de Janeiro, Rio de Janeiro, Brazil",2011 International Symposium on Empirical Software Engineering and Measurement,20111201,2011,,,355,358
System perspective on embedded multimedia,"National Taiwan University, Taiwan",2011 9th IEEE Symposium on Embedded Systems for Real-Time Multimedia,20111201,2011,,,1,1
Code Hot Spot: A tool for extraction and analysis of code change history,"Industrial Software Systems, ABB Corporate Research, Raleigh, NC USA",2011 27th IEEE International Conference on Software Maintenance (ICSM),20111117,2011,,,392,401
Assessing Software Quality by Program Clustering and Defect Prediction,"Sch. of Comput. Sci., Fudan Univ., Shanghai, China",2011 18th Working Conference on Reverse Engineering,20111117,2011,,,244,248
Application research on network coding in WSN,"Coll. of Comput. Sci. & Technol., Harbin Eng. Univ., Harbin, China",2010 Fifth International Conference on Internet Computing for Science and Engineering,20111114,2010,,,162,166
Counting Bugs is Harder Than You Think,"Software & Syst. Div., U.S. Nat. Inst. of Stand. & Technol., Gaithersburg, MD, USA",2011 IEEE 11th International Working Conference on Source Code Analysis and Manipulation,20111103,2011,,,1,9
Timing and schedulability analysis for distributed automotive control applications,"TU Munich, Germany",2011 Proceedings of the Ninth ACM International Conference on Embedded Software (EMSOFT),20111031,2011,,,349,350
A Review of DNA Microarray Image Compression,"Dept. of Inf. & Commun. Eng., Univ. Autonoma de Barcelona, Barcelona, Spain","2011 First International Conference on Data Compression, Communications and Processing",20111027,2011,,,139,147
Refactoring Object-Oriented Specifications with Inheritance-Based Polymorphism,"Sch. of Inf. Technol. & Electr. Eng., Univ. of Queensland, Brisbane, QLD, Australia",2011 Fifth International Conference on Theoretical Aspects of Software Engineering,20111013,2011,,,35,41
Diagnosing new faults using mutants and prior faults (NIER track),"University of Western Ontario, London, ON, Canada",2011 33rd International Conference on Software Engineering (ICSE),20111010,2011,,,960,963
Understanding broadcast based peer review on open source software projects,"University of Victoria, Victoria, BC, Canada",2011 33rd International Conference on Software Engineering (ICSE),20111010,2011,,,541,550
How do programmers ask and answer questions on the web?: NIER track,"University of Victoria, Victoria, BC, Canada",2011 33rd International Conference on Software Engineering (ICSE),20111010,2011,,,804,807
A Systematic Literature Review on Fault Prediction Performance in Software Engineering,"Brunel University, Uxbridge",IEEE Transactions on Software Engineering,20121129,2012,38,6,1276,1304
Dealing with Test Automation Debt at Microsoft,"Office Shared Services, Microsoft Corp., Redmond, CA, USA",2011 IEEE 35th Annual Computer Software and Applications Conference Workshops,20111003,2011,,,136,136
Event-Based Mutation Testing vs. State-Based Mutation Testing - An Experimental Comparison,"Fac. of Comput. Sci., Univ. of Paderborn, Paderborn, Germany",2011 IEEE 35th Annual Computer Software and Applications Conference,20111003,2011,,,650,655
Techniques for Defending from Buffer Overflow Vulnerability Security Exploits,,IEEE Internet Computing,,2011,Early Access,Early Access,1,1
Techniques for Defending from Buffer Overflow Vulnerability Security Exploits,"Nanyang Technological University, Singapore",IEEE Internet Computing,,2011,Early Access,Early Access,1,1
Towards a theory of semantic communication,"Tetherless World Constellation, Rensselaer Polytechnic Institute, Troy, NY 03060, USA",2011 IEEE Network Science Workshop,20110905,2011,,,110,117
IBM PC Retrospective: There Was Enough Right to Make It Work,,Computer,20110818,2011,44,8,26,33
Trustrace: Improving Automated Trace Retrieval through Resource Trust Analysis,"DGIGL, Ecole Polytech. de Montreal, Montreal, QC, Canada",2011 IEEE 19th International Conference on Program Comprehension,20110801,2011,,,230,233
An interactive visualization environment for exploring Java programs: SHriMP views revisited,"Univ. of Victoria, Victoria, BC, Canada",2011 IEEE 19th International Conference on Program Comprehension,20110801,2011,,,xviii,xviii
Detecting resource leaks through dynamical mining of resource usage patterns,"School of Software, Shanghai Jiao Tong University, Shanghai, 200240, China",2011 IEEE/IFIP 41st International Conference on Dependable Systems and Networks Workshops (DSN-W),20110721,2011,,,265,270
Refactoring as Testability Transformation,"Dept. of Comput. Sci., Univ. Coll. London, London, UK","2011 IEEE Fourth International Conference on Software Testing, Verification and Validation Workshops",20110714,2011,,,414,421
Artificial Intelligence Design in a Multiplayer Online Role Playing Game,"Sch. of Comput. Sci. & Eng., California State Univ. San Bernardino, San Bernardino, CA, USA",2011 Eighth International Conference on Information Technology: New Generations,20110711,2011,,,816,821
Categorization of real-time software components for code size estimation,"Saab Automobile AB, Trollh&#228;ttan, Sweden",Proceedings of the 2010 ACM-IEEE International Symposium on Empirical Software Engineering and Measurement,20110708,2010,,,1,10
Building empirical support for automated code smell detection,"University of Applied Sciences, Mannheim, Germany",Proceedings of the 2010 ACM-IEEE International Symposium on Empirical Software Engineering and Measurement,20110708,2010,,,1,10
Functional language compiler experiences at Intel,Intel,ACM SIGPLAN Commercial Users of Functional Programming,20110708,2010,,,1,1
Feature oriented-programming: back to the future,"Fraunhofer ESK, Munich, Germany",Proceedings of the 2nd International Workshop on Feature-Oriented Software Development,20110708,2010,,,1,1
Eating our own dog food: DSLs for generative and transformational engineering,"Queen's University, Kingston, ON, Canada",ACM SIGPLAN Notices,20110708,2010,45,2,3,4
Safe composition of non-monotonic features,"University of Magdeburg, Magdeburg, Germany",ACM SIGPLAN Notices,20110708,2010,45,2,177,186
Fine-grained privilege separation for web applications,"University of California, Berkeley, Berkeley, CA, USA",Proceedings of the 19th international conference on World wide web,20110708,2010,,,551,560
Peer review in CS2: conceptual learning,"ECPI College of Technology, Hampton, VA, USA",Proceedings of the 41st ACM technical symposium on Computer science education,20110708,2010,,,331,335
"Effect of object oriented refactorings on testability, error proneness and other maintainability attributes","University of Szeged, Szeged, Hungary",Proceedings of the 1st Workshop on Testing Object-Oriented Systems,20110708,2010,,,1,7
"The stochastic root-finding problem: Overview, solutions, and open questions",Virginia Tech,ACM Transactions on Modeling and Computer Simulation (TOMACS),20110708,2011,21,3,1,23
SE-155 DBSA: a device-based software architecture for data mining,"University of Oulu, Finland",Proceedings of the 2010 ACM Symposium on Applied Computing,20110708,2010,,,2273,2280
Towards security testing with taint analysis and genetic algorithms,"Fondazione Bruno Kessler--IRST, Trento, Italy",Proceedings of the 2010 ICSE Workshop on Software Engineering for Secure Systems,20110708,2010,,,65,71
Jype - a program visualization and programming exercise tool for Python,"Aalto University School of Science and Technology, Espoo, Finland",Proceedings of the 5th international symposium on Software visualization,20110708,2010,,,153,162
SequenceL: transparency and multi-core parallelisms,"Texas Tech University, Lubbock, TX, USA",Proceedings of the 5th ACM SIGPLAN workshop on Declarative aspects of multicore programming,20110708,2010,,,45,52
